Date,Weekly_Sales
2/5/2010,1643690.9
2/12/2010,1641957.44
2/19/2010,1611968.17
2/26/2010,1409727.59
3/5/2010,1554806.68
3/12/2010,1439541.59
3/19/2010,1472515.79
3/26/2010,1404429.92
4/2/2010,1594968.28
4/9/2010,1545418.53
4/16/2010,1466058.28
4/23/2010,1391256.12
4/30/2010,1425100.71
5/7/2010,1603955.12
5/14/2010,1494251.5
5/21/2010,1399662.07
5/28/2010,1432069.95
6/4/2010,1615524.71
6/11/2010,1542561.09
6/18/2010,1503284.06
6/25/2010,1422711.6
7/2/2010,1492418.14
7/9/2010,1546074.18
7/16/2010,1448938.92
7/23/2010,1385065.2
7/30/2010,1371986.6
8/6/2010,1605491.78
8/13/2010,1508237.76
8/20/2010,1513080.49
8/27/2010,1449142.92
9/3/2010,1540163.53
9/10/2010,1507460.69
9/17/2010,1430378.67
9/24/2010,1351791.03
10/1/2010,1453329.5
10/8/2010,1508239.93
10/15/2010,1459409.1
10/22/2010,1345454
10/29/2010,1384209.22
11/5/2010,1551659.28
11/12/2010,1494479.49
11/19/2010,1483784.18
11/26/2010,1955624.11
12/3/2010,1548033.78
12/10/2010,1682614.26
12/17/2010,1891034.93
12/24/2010,2387950.2
12/31/2010,1367320.01
1/7/2011,1444732.28
1/14/2011,1391013.96
1/21/2011,1327405.42
1/28/2011,1316899.31
2/4/2011,1606629.58
2/11/2011,1649614.93
2/18/2011,1686842.78
2/25/2011,1456800.28
3/4/2011,1636263.41
3/11/2011,1553191.63
3/18/2011,1576818.06
3/25/2011,1541102.38
4/1/2011,1495064.75
4/8/2011,1614259.35
4/15/2011,1559889
4/22/2011,1564819.81
4/29/2011,1455090.69
5/6/2011,1629391.28
5/13/2011,1604775.58
5/20/2011,1428218.27
5/27/2011,1466046.67
6/3/2011,1635078.41
6/10/2011,1588948.32
6/17/2011,1532114.86
6/24/2011,1438830.15
7/1/2011,1488538.09
7/8/2011,1534849.64
7/15/2011,1455119.97
7/22/2011,1396926.82
7/29/2011,1352219.79
8/5/2011,1624383.75
8/12/2011,1525147.09
8/19/2011,1530761.43
8/26/2011,1464693.46
9/2/2011,1550229.22
9/9/2011,1540471.24
9/16/2011,1514259.78
9/23/2011,1380020.27
9/30/2011,1394561.83
10/7/2011,1630989.95
10/14/2011,1493525.93
10/21/2011,1502562.78
10/28/2011,1445249.09
11/4/2011,1697229.58
11/11/2011,1594938.89
11/18/2011,1539483.7
11/25/2011,2033320.66
12/2/2011,1584083.95
12/9/2011,1799682.38
12/16/2011,1881176.67
12/23/2011,2270188.99
12/30/2011,1497462.72
1/6/2012,1550369.92
1/13/2012,1459601.17
1/20/2012,1394393.84
1/27/2012,1319325.59
2/3/2012,1636339.65
2/10/2012,1802477.43
2/17/2012,1819870
2/24/2012,1539387.83
3/2/2012,1688420.76
3/9/2012,1675431.16
3/16/2012,1677472.78
3/23/2012,1511068.07
3/30/2012,1649604.63
4/6/2012,1899676.88
4/13/2012,1621031.7
4/20/2012,1521577.87
4/27/2012,1468928.37
5/4/2012,1684519.99
5/11/2012,1611096.05
5/18/2012,1595901.87
5/25/2012,1555444.55
6/1/2012,1624477.58
6/8/2012,1697230.96
6/15/2012,1630607
6/22/2012,1527845.81
6/29/2012,1540421.49
7/6/2012,1769854.16
7/13/2012,1527014.04
7/20/2012,1497954.76
7/27/2012,1439123.71
8/3/2012,1631135.79
8/10/2012,1592409.97
8/17/2012,1597868.05
8/24/2012,1494122.38
8/31/2012,1582083.4
9/7/2012,1661767.33
9/14/2012,1517428.87
9/21/2012,1506126.06
9/28/2012,1437059.26
10/5/2012,1670785.97
10/12/2012,1573072.81
10/19/2012,1508068.77
10/26/2012,1493659.74
2/5/2010,2136989.46
2/12/2010,2137809.5
2/19/2010,2124451.54
